Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY 50,Short,2016-07-25 14:10:00,8620.9,2016-07-25 15:00:00,8636.85,-15.95,-0.20
NIFTY 50,Short,2016-08-08 09:30:00,8706.0,2016-08-08 09:40:00,8714.1,-8.1,-8.30
NIFTY 50,Short,2016-08-30 10:15:00,8670.15,2016-08-30 10:25:00,8675.25,-5.10,-13.40
NIFTY 50,Short,2016-08-30 10:40:00,8675.7,2016-08-30 12:00:00,8677.5,-1.8,-15.20
NIFTY 50,Short,2016-08-30 13:20:00,8702.9,2016-08-30 14:15:00,8720.35,-17.45,-32.65
NIFTY 50,Short,2016-08-31 09:40:00,8780.6,2016-08-31 09:45:00,8790.65,-10.05,-42.70
NIFTY 50,Short,2016-08-31 10:00:00,8787.6,2016-08-31 12:30:00,8779.0,8.6,-34.10
NIFTY 50,Short,2016-09-06 10:50:00,8895.1,2016-09-06 12:10:00,8901.45,-6.35,-40.45
NIFTY 50,Short,2016-09-16 10:45:00,8841.05,2016-09-16 12:05:00,8843.5,-2.45,-42.90
NIFTY 50,Short,2016-10-18 14:15:00,8644.95,2016-10-18 14:20:00,8647.9,-2.95,-45.85
NIFTY 50,Short,2016-10-18 15:25:00,8667.7,2016-10-19 11:40:00,8663.35,4.35,-41.50
NIFTY 50,Long,2016-12-22 10:20:00,8007.95,2016-12-22 10:35:00,7992.4,-15.55,-57.05
NIFTY 50,Long,2016-12-22 10:40:00,7999.75,2016-12-22 11:35:00,7982.65,-17.10,-74.15
NIFTY 50,Short,2016-12-27 15:25:00,8030.9,2016-12-28 09:15:00,8049.1,-18.2,-92.35
NIFTY 50,Short,2016-12-28 09:30:00,8033.95,2016-12-28 09:50:00,8064.35,-30.40,-122.75
NIFTY 50,Short,2016-12-30 10:10:00,8164.45,2016-12-30 11:25:00,8169.35,-4.90,-127.65
NIFTY 50,Short,2017-01-11 10:10:00,8338.1,2017-01-11 11:05:00,8338.35,-0.25,-127.90
NIFTY 50,Short,2017-01-11 13:15:00,8363.9,2017-01-11 13:35:00,8366.45,-2.55,-130.45
NIFTY 50,Short,2017-01-11 13:50:00,8371.95,2017-01-11 14:00:00,8378.0,-6.05,-136.50
NIFTY 50,Short,2017-01-24 15:25:00,8476.75,2017-01-25 09:15:00,8502.15,-25.40,-161.90
NIFTY 50,Short,2017-01-25 09:45:00,8512.55,2017-01-25 11:05:00,8520.9,-8.35,-170.25
NIFTY 50,Short,2017-01-25 13:40:00,8552.05,2017-01-25 14:25:00,8556.65,-4.60,-174.85
NIFTY 50,Short,2017-01-25 15:25:00,8597.5,2017-01-27 09:15:00,8633.7,-36.2,-211.05
NIFTY 50,Short,2017-01-27 09:30:00,8640.85,2017-01-27 09:40:00,8653.65,-12.80,-223.85
NIFTY 50,Short,2017-01-27 09:45:00,8644.05,2017-01-27 10:30:00,8659.75,-15.70,-239.55
NIFTY 50,Short,2017-01-27 10:40:00,8663.05,2017-01-27 13:15:00,8660.9,2.15,-237.40
NIFTY 50,Short,2017-05-25 15:15:00,9507.7,2017-05-26 09:20:00,9525.8,-18.1,-255.50
NIFTY 50,Short,2017-07-03 11:15:00,9604.0,2017-07-03 12:00:00,9612.95,-8.95,-264.45
NIFTY 50,Short,2017-07-10 12:15:00,9722.05,2017-07-10 12:30:00,9729.85,-7.80,-272.25
NIFTY 50,Short,2017-07-10 12:35:00,9721.1,2017-07-10 13:05:00,9732.5,-11.4,-283.65
NIFTY 50,Short,2017-07-10 14:25:00,9773.5,2017-07-11 09:15:00,9794.8,-21.3,-304.95
NIFTY 50,Short,2017-07-27 10:05:00,10084.75,2017-07-27 10:30:00,10094.6,-9.85,-314.80
NIFTY 50,Short,2017-07-27 11:30:00,10110.6,2017-07-27 13:50:00,10080.65,29.95,-284.85
NIFTY 50,Short,2017-08-16 13:45:00,9857.5,2017-08-16 14:35:00,9879.6,-22.1,-306.95
NIFTY 50,Short,2017-08-17 09:55:00,9923.55,2017-08-17 12:00:00,9907.45,16.10,-290.85
NIFTY 50,Short,2017-09-01 10:15:00,9953.3,2017-09-01 10:30:00,9960.75,-7.45,-298.30
NIFTY 50,Short,2017-10-13 09:35:00,10147.15,2017-10-13 10:40:00,10158.15,-11.00,-309.30
NIFTY 50,Short,2017-12-08 10:35:00,10238.25,2017-12-08 11:10:00,10255.55,-17.30,-326.60
NIFTY 50,Short,2017-12-15 10:00:00,10360.8,2017-12-15 12:15:00,10347.2,13.6,-313.00
NIFTY 50,Short,2017-12-20 09:15:00,10457.7,2017-12-20 09:25:00,10471.65,-13.95,-326.95
NIFTY 50,Short,2018-01-05 10:10:00,10554.25,2018-01-05 12:30:00,10538.8,15.45,-311.50
NIFTY 50,Short,2018-02-26 10:40:00,10561.45,2018-02-26 12:35:00,10568.25,-6.80,-318.30
NIFTY 50,Long,2018-03-07 09:40:00,10214.15,2018-03-07 11:10:00,10193.8,-20.35,-338.65
NIFTY 50,Short,2018-03-13 09:25:00,10428.85,2018-03-13 10:05:00,10450.0,-21.15,-359.80
